"id","event_name_en","event_name_fr","date","door_time","show_time","presenter_en","presenter_fr","optional_title_en","optional_title_fr","description_en","description_fr","age_restricted","seated","ticket_url_disabled","ticket_url_en","ticket_url_fr","ticket_url_alternate_en","ticket_url_alternate_fr","ticket_description_en","ticket_description_fr","media_context_en","media_context_fr","announce_date","ticket_onsale_date","image_url","draft","cancelled","postponed","soldout","free","event_url","slug","fb_event_url","venue__id","venue__name_en","venue__name_fr","venue__map_url","venue__website","venue__address1","venue__address2","venue__zip_code","venue__country","venue__state","venue__city","artists__id","artists__name","artists__website","artists__bio_en","artists__bio_fr","artists__image_url","artists__twitter_url","artists__facebook_url","artists__instagram_url","artists__youtube_tag"
"4227","","","2019-11-15","00:00:00","00:00:00","","","","","The Orchestre symphonique de Montréal, in collaboration with GSI Musique, is proud to announce that it will give a symphonic concert entitled Celebrating the career of Renée Claude: La mémoire du cœur. This event was conceived in response to the extraordinary reactions generated by the cover of the song “Tu trouveras la paix” (“You Will Find Peace”), recorded as a tribute to singer Renée Claude, who is suffering from Alzheimer’s disease. As with the song, proceeds from this event will go to the Alzheimer's Research Fund at the CHUM Research Centre (CRCHUM) to support the work of Dr. Nicole Leclerc and Dr. Karl Fernandes.","","0","0","0","https://placedesarts.com/en/event/celebrating-career-ren%C3%A9e-claude-la-m%C3%A9moire-du-coeur#tarifs","https://placedesarts.com/en/event/celebrating-career-ren%C3%A9e-claude-la-m%C3%A9moire-du-coeur#tarifs","","","The Orchestre symphonique de Montréal, in collaboration with GSI Musique, is proud to announce that it will give a symphonic concert entitled Celebrating the career of Renée Claude: La mémoire du cœur. This event was conceived in response to the extraordinary reactions generated by the cover of the song “Tu trouveras la paix” (“You Will Find Peace”), recorded as a tribute to singer Renée Claude, who is suffering from Alzheimer’s disease. As with the song, proceeds from this event will go to the Alzheimer's Research Fund at the CHUM Research Centre (CRCHUM) to support the work of Dr. Nicole Leclerc and Dr. Karl Fernandes.","","","","0000-00-00 00:00:00","0000-00-00 00:00:00","http://admin.arts2u.ca/uploads/4227.jpg","0","0","0","0","0","https://placedesarts.com/en/event/celebrating-career-ren%C3%A9e-claude-la-m%C3%A9moire-du-coeur","celebrating-the-career-of-renee-claude-la-memoire-du-coeur-maison-symphonique-montreal-2019-11-15-tickets-4227","","45","Maison Symphonique","Maison Symphonique","https://www.google.ca/maps/place/Orchestre+symphonique+de+Montréal/@45.509424,-73.566722,15z/data=!4m2!3m1!1s0x0:0x704eaa603ffc74d8","http://placedesarts.com/rooms/main-rooms/maison-symphonique-de-montreal.en.html","1600 Rue Saint-Urbain","","H2X 1Z8","Canada","Quebec","Montréal","5148","Celebrating the career of Renée Claude: la mémoire du coeur","","","","","","","null",""
"4254","","","2019-11-15","19:00:00","20:00:00","Greenland & evenko presents","Greenland & evenko présentent","","","","","0","0","0","https://www.ticketmaster.ca/event/310056EA8E521647?lang=en-ca&brand=lastral&camefrom=CFC_SPECTRA_EN","https://www.ticketmaster.ca/event/310056EA8E521647?lang=fr-ca&brand=lastral&camefrom=CFC_SPECTRA_FR","","","Tickets also available at the MTelus & L’Astral box offices.","Billets sont aussi disponibles aux billetteries du MTelus et de L’Astral.","","","2019-07-22 13:00:00","2019-07-26 10:00:00","http://admin.arts2u.ca/uploads/191115-SashaSloan_500.jpg","0","0","0","0","0","https://www.greenland.ca/event/view/sasha-sloan-lastral-montreal-2019-11-15-tickets-4254","sasha-sloan-lastral-montreal-2019-11-15-tickets-4254","https://www.facebook.com/events/2386525411622719/","38","L'Astral","L'Astral","https://www.google.ca/maps/place/L'Astral/@45.5068285,-73.5668666,17z/data=!4m2!3m1!1s0x0:0x34390274de602491","http://www.sallelastral.com/","305 Ste-Catherine O","","H2X 2A3","Canada","Quebec","Montréal","3662","SASHA SLOAN","http://sadgirlsloan.com/","","","","https://twitter.com/sadgirlsloan","https://www.facebook.com/sadgirlsloan/","","T37QFDQak9M"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5308","WINNETKA BOWLING LEAGUE","","","","","https://twitter.com/WinnetkaBowling","https://www.facebook.com/WinnetkaBowlingLeague/","https://www.instagram.com/winnetkabowlingleague/",""
"4401","","","2019-11-15","19:00:00","20:00:00","Greenland & evenko presents","Greenland & evenko présentent","Silver 25th anniversary tour","Tournée 25e anniversaire de Silver","","","0","0","0","https://tickets.evenko.ca/shop/?locale=en-CA&skin=corona&fac=EVENKO#fd9345cd-6afd-4f31-9a49-7cd79bd36633","https://tickets.evenko.ca/shop/?locale=fr-CA&skin=corona&fac=EVENKO#fd9345cd-6afd-4f31-9a49-7cd79bd36633","","","Tickets are also available at Théâtre Corona","Billets aussi disponibles au Théâtre Corona","","","2019-07-19 15:00:00","2019-07-19 15:00:00","http://admin.arts2u.ca/uploads/191114_MOIST_500.jpg","0","0","0","0","0","https://www.greenland.ca/event/view/moist-theatre-corona-montreal-2019-11-15-tickets-4401","moist-theatre-corona-montreal-2019-11-15-tickets-4401","","12","Théâtre Corona","Théâtre Corona","https://maps.google.ca/maps?q=Théâtre+Corona+Virgin+Mobile,+Notre+Dame+Street+West,+Montreal,+QC&hl=en&ie=UTF8&sll=45.510633,-73.563337&sspn=0.009639,0.018346&oq=theatre+corona&t=h&hq=Théâtre+Corona+Virgin+Mobile,&hnear=Notre+Dame+St+W,+Montreal,+Quebec&z=","http://theatrecoronavirginmobile.com","2490 Rue Notre Dame O","","H3J 1N5","Canada","Quebec","Montréal","5173","MOIST","https://moistonline.com/","","","","https://twitter.com/moistonline","https://www.facebook.com/moistonline","","j0jJi0SlwuM"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5407","STUCK ON PLANET EARTH","https://www.stuckonplanetearth.com/","","","","https://twitter.com/stuck_band","https://www.facebook.com/stuckonplanetearth/","",""
"4539","","","2019-11-15","19:00:00","20:00:00","Greenland & evenko presents","Greenland & evenko présentent","An evening with","Une soirée avec","","","1","0","0","https://ausgangplaza.electrostub.com/show.cfm?cart&clearGlobalQueryCache=now&id=211070","https://ausgangplaza.electrostub.com/show.cfm?cart&clearGlobalQueryCache=now&id=211070","","","","","","","2019-09-03 10:00:00","2019-09-06 10:00:00","http://admin.arts2u.ca/uploads/191115_Geoffroy_500.jpg","0","0","0","0","0","https://www.greenland.ca/event/view/geoffroy-ausgang-plaza-montreal-2019-11-15-tickets-4539","geoffroy-ausgang-plaza-montreal-2019-11-15-tickets-4539","https://www.facebook.com/events/416852095602425/","153","Ausgang Plaza","Ausgang Plaza","https://www.google.com/maps/place/Artgang+Gallery/@45.536249,-73.6043909,19z/data=!4m13!1m7!3m6!1s0x4cc919693c80e35f:0xd4b92fac50a1f04b!2s6524+St+Hubert+St,+Montreal,+QC+H2S+2M3!3b1!8m2!3d45.536249!4d-73.6038437!3m4!1s0x4cc919693c7d2171:0x37c33be422d9191!8","https://www.ausgangplaza.com","6524 Rue Saint-Hubert Montréal,  ","","H2S2M3","Canada","Quebec","Montreal","5389","GEOFFROY","https://geoffroymusic.com/","","","","","https://www.facebook.com/geoffroymusic/","https://www.instagram.com/__geoffroy/","Bn8PY9UHqOw"
"4573","","","2019-11-15","19:00:00","20:00:00","Greenland & evenko Present","Greenland & evenko Présente","","","","","1","0","0","https://thepointofsale.com/tickets/tixza-bryce-vine-belmont-montreal-november-15-2019","https://lepointdevente.com/billets/tixza-bryce-vine-belmont-montreal-november-15-2019","","","Tickets: $20.00 Advance + service fees","Tickets: $20.00 Advance + service fees","","","2019-09-16 10:00:00","2019-09-18 10:00:00","http://admin.arts2u.ca/uploads/191115_BryceVine_500.jpg","0","0","0","0","0","","bryce-vine-le-belmont-montreal-2019-11-15-tickets-4573","https://www.facebook.com/events/903204340056185/","19","Le Belmont","Le Belmont","https://maps.google.ca/maps?ie=UTF-8&q=Belmont+sur+le+Boulevard+(Le)&fb=1&gl=ca&hq=Belmont+sur+le+Boulevard&cid=0,0,3900048740548779126&ei=I6VdUtK_GqHayAH58oBA&ved=0CJUBEPwSMAk","http://lebelmont.com","4483 St-Laurent","","H2T 1R4","Canada","Quebec","Montréal","3655","BRYCE VINE","https://www.brycevine.com/","","","","https://www.instagram.com/brycevine/","https://www.facebook.com/brycevine","","huUVmZXlFLo"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5588","KID QUILL","http://www.kidquill.com/","","","","https://twitter.com/KidQuill","https://www.facebook.com/KidQuill/","https://www.instagram.com/kidquill/?hl=en",""
"4228","","","2019-11-16","00:00:00","19:30:00","","","","","Both the Université du Québec à Montréal (UQAM) and the Orchestre Métropolitain are young institutions dedicated to making knowledge and culture accessible to all. Urban and rooted in the community, they make Montreal, Quebec and Canada shine on the international stage. It was UQAM that, in 2011, awarded maestro Yannick Nézet-Séguin his first honorary doctorate.\n\nAccordingly, to celebrate UQAM’s 50th anniversary, the institutions are joining together to invite the general public and the university community to an exceptional evening with the Orchestre Métropolitain, which will perform Bruckner’s Symphony No. 4 “Romantic”.","","0","0","0","https://placedesarts.com/en/event/om-celebrates-uqam%E2%80%99s-50th-anniversary#tarifs","https://placedesarts.com/en/event/om-celebrates-uqam%E2%80%99s-50th-anniversary#tarifs","","","","","","","0000-00-00 00:00:00","0000-00-00 00:00:00","http://admin.arts2u.ca/uploads/4228.jpg","0","0","0","0","0","https://placedesarts.com/en/event/om-celebrates-uqam%E2%80%99s-50th-anniversary","the-om-celebrates-uqams-50th-anniversary-maison-symphonique-montreal-2019-11-16-tickets-4228","","45","Maison Symphonique","Maison Symphonique","https://www.google.ca/maps/place/Orchestre+symphonique+de+Montréal/@45.509424,-73.566722,15z/data=!4m2!3m1!1s0x0:0x704eaa603ffc74d8","http://placedesarts.com/rooms/main-rooms/maison-symphonique-de-montreal.en.html","1600 Rue Saint-Urbain","","H2X 1Z8","Canada","Quebec","Montréal","5149","The OM celebrates UQAM’s 50th anniversary","","","","","","","null",""
"4442","","","2019-11-16","18:30:00","20:00:00","Greenland & '77 Present","Greenland & '77 Présentent","Thieves In The Night Tour 2019","Tournée 2019 «Thieves In The Night»","","","0","0","0","https://www.ticketmaster.ca/event/31005702AA76206C?lang=en-ca&brand=lolympia","https://www.ticketmaster.ca/event/31005702AA76206C?lang=fr-ca&brand=lolympia","","","<br>\nTickets also available  at l'Olympia","<br>\nBillets aussi disponibles à l'Olympia","","","2019-08-05 12:00:00","2019-08-09 10:00:00","http://admin.arts2u.ca/uploads/191116-StreetlightManifesto-500.jpg","0","0","0","0","0","https://www.greenland.ca/event/view/streetlight-manifesto-lolympia-montreal-2019-11-16-tickets-4442","streetlight-manifesto-lolympia-montreal-2019-11-16-tickets-4442","https://www.facebook.com/events/2181365952155319/","36","L'Olympia","L'Olympia","https://www.google.ca/maps/place/Theatre+De+L'Olympia/@45.517102,-73.557276,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0xb3a70ea0756874a5","http://www.olympiamontreal.com/","1004 Ste-Catherine E.","","H2L 2G2","Canada","Quebec","Montréal","359","STREETLIGHT MANIFESTO","http://streetlightmanifesto.com/","","","","http://twitter.com/#!/smanifesto","http://www.facebook.com/Smanifesto","","SOqenYis1iQ"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5516","THE SUICIDE MACHINES","","","","","https://twitter.com/tsmdetroit","https://www.facebook.com/suicidemachinesdetroit","https://www.instagram.com/suicidemachinesdetroit",""
